Date,month,year,Block,Latitude,Longitude,Street,Trap,Species,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,dew_point_depression,WetBulb,wet_bulb_depression,relative_humidity,Heat,Cool,Sunrise,Sunset,daytime,PrecipTotal,StnPressure,ResultSpeed,ResultDir,DZ,BR,FG,HZ,RA,TS,TSRA,VCTS
2007-05-29,5.0,2007.0,41,41.95469,-87.800991, N OAK PARK AVE,T002,CULEX PIPIENS/RESTUANS,1.0,0.0,88.0,60.0,74.0,58.0,16.0,65.0,9.0,57.0,0.0,9.0,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,0.0,29.39,5.8,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-05-29,5.0,2007.0,41,41.95469,-87.800991, N OAK PARK AVE,T002,CULEX RESTUANS,1.0,0.0,88.0,60.0,74.0,58.0,16.0,65.0,9.0,57.0,0.0,9.0,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,0.0,29.39,5.8,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-05-29,5.0,2007.0,62,41.994991,-87.769279, N MANDELL AVE,T007,CULEX RESTUANS,1.0,0.0,88.0,60.0,74.0,58.0,16.0,65.0,9.0,57.0,0.0,9.0,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,0.0,29.39,5.8,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-05-29,5.0,2007.0,79,41.974089,-87.824812, W FOSTER AVE,T015,CULEX PIPIENS/RESTUANS,1.0,0.0,88.0,60.0,74.0,58.0,16.0,65.0,9.0,57.0,0.0,9.0,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,0.0,29.39,5.8,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-05-29,5.0,2007.0,79,41.974089,-87.824812, W FOSTER AVE,T015,CULEX RESTUANS,4.0,0.0,88.0,60.0,74.0,58.0,16.0,65.0,9.0,57.0,0.0,9.0,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,0.0,29.39,5.8,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-05-29,5.0,2007.0,65,41.999128999999996,-87.795585, N OAK PARK AVE,T143,CULEX PIPIENS/RESTUANS,1.0,0.0,88.0,60.0,74.0,58.0,16.0,65.0,9.0,57.0,0.0,9.0,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,0.0,29.39,5.8,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-05-29,5.0,2007.0,75,42.01743,-87.68776899999999, N OAKLEY AVE,T148,CULEX PIPIENS/RESTUANS,1.0,0.0,88.0,60.0,74.0,58.0,16.0,65.0,9.0,57.0,0.0,9.0,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,0.0,29.39,5.8,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-06-05,6.0,2007.0,41,41.95469,-87.800991, N OAK PARK AVE,T002,CULEX PIPIENS/RESTUANS,3.0,0.0,64.0,47.0,56.0,48.0,8.0,51.0,5.0,74.0,9.0,0.0,0 days 04:17:00.000000000,0 days 19:23:00.000000000,0 days 15:06:00.000000000,0.42,29.1,5.2,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-06-05,6.0,2007.0,41,41.95469,-87.800991, N OAK PARK AVE,T002,CULEX RESTUANS,5.0,0.0,64.0,47.0,56.0,48.0,8.0,51.0,5.0,74.0,9.0,0.0,0 days 04:17:00.000000000,0 days 19:23:00.000000000,0 days 15:06:00.000000000,0.42,29.1,5.2,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-06-05,6.0,2007.0,41,41.95469,-87.800991, N OAK PARK AVE,T002,CULEX PIPIENS,1.0,0.0,64.0,47.0,56.0,48.0,8.0,51.0,5.0,74.0,9.0,0.0,0 days 04:17:00.000000000,0 days 19:23:00.000000000,0 days 15:06:00.000000000,0.42,29.1,5.2,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
